Entreprise,Entreprise_Normalisee,Score_Max,Tier,Commune,Nb_Agents,Agents,Tel_Societe,Email_Societe,Tel_Societe_All,Email_Societe_All,Tel_Agents_IPI,Email_Agents_IPI,Tel_Agents_Existants,Email_Agents_Existants,Site_Web,Google_Business,Google_Note,Google_Nb_Avis,Services,Gestion_Locative,Syndic,Vente,Location,Commercial,Logiciel_Actuel,Immoweb_Annonces_Total,Immoweb_Location,Immoweb_Vente,Portfolio_Estime,BCE_Numero,BCE_Forme_Juridique,BCE_Date_Creation,Pain_Points,Angle_SPIN
CityRetail,CITYRETAIL,73,A,Saint-Gilles,1,Daniel Brainis,+3247781380,d.brainis@cityretail.be,+3247781380 | +3248512628,d.brainis@cityretail.be | s.michaeli@cityretail.be | retail@cityretail.be,+3228926060,d.brainis@cityretail.be,,d.brainis@cityretail.be,https://www.cityretail.be,https://www.google.com/maps/search/CityRetail%20Saint-Gilles,,,"Gestion locative, Location, Commercial",Oui,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
SAVILLS BELUX GROUP,SAVILLS BELUX GROUP,73,A,Ixelles,1,John Defauw,,info@savills.be,,info@savills.be,+3225424050,jdefauw@savills.be,,jdefauw@savills.be,https://www.savills.be,https://www.google.com/maps/search/SAVILLS%20BELUX%20GROUP%20Ixelles,,,"Gestion locative, Location, Commercial",Oui,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Wanaka Capital Solutions,WANAKA CAPITAL SOLUTIONS,73,A,Sint-Joost-ten-Node,1,Philip Walravens,,,,,+3223489530,philip.walravens@wanakapartners.com,,philip.walravens@wanakapartners.com,https://www.wanakapartners.com,https://www.google.com/maps/search/Wanaka%20Capital%20Solutions%20Sint-Joost-ten-Node,,,"Gestion locative, Commercial",Oui,Non,Non,Non,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immo ICC,IMMO ICC,73,A,Anderlecht,2,Calogero Criscenzo | Corinne Demulder Makanda,+3224145600,criscenzo.calo@gmail.com,+3224145600 | +32475331474 | +32472965890 | +32477274143 | +32475711259,criscenzo.calo@gmail.com,+3224145600,criscenzo@gmail.com | criscenzo.calo@gmail.com,+3224145600,criscenzo@gmail.com | criscenzo.calo@gmail.com,https://www.immoicc.be,https://www.google.com/maps/search/Immo%20ICC%20Anderlecht,3.8,12,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,immoweb,10,5,5,30,,SRL,2000-01-01,,immoweb couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
DG Properties,DG PROPERTIES,73,A,Rixensart,1,Damien Gilon,,logo@2x.png,,logo@2x.png | info@dgproperties.eu,+3226420039,damien.gilon@dgproperties.eu,,damien.gilon@dgproperties.eu,https://www.dgproperties.eu,https://www.google.com/maps/search/DG%20Properties%20Rixensart,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
SREIM BRUXELLES SRL,SREIM BRUXELLES,73,A,Ixelles,1,Anne-Catherine HELLMANN,,contact@sreim.be,,contact@sreim.be,,ach@sreim.fr,,ach@sreim.fr,https://www.sreim.be,https://www.google.com/maps/search/SREIM%20BRUXELLES%20SRL%20Ixelles,,,"Gestion locative, Location, Commercial",Oui,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
HOME HUNTING,HOME HUNTING,73,A,Forest,1,Caroline Joubert,,josh-hemsley-wpyvafgrl4a-unsplash@c460x560.jpg,,josh-hemsley-wpyvafgrl4a-unsplash@c460x560.jpg | whatsapp-image-2021-04-30-at-13-17-59-2@c460x560.jpeg | img-8240-copie@c460x560.jpg | josh-hemsley-qpzwoxjupti-unsplash@c460x560.jpg | gachard@c930x610.jpg | logo-hh-2026@c350x410.jpeg | 3-jpg-6154-north-655x437-transparent@c350x410.jpg | place-brugmann@c350x410.jpg | avenue-lepoutre@c350x410.jpg | img-e5898@c670x670.jpg | photo-home-huting-immo-bruxelles@c670x670.jpg | caroline@homehunting.be,+3226468556,caroline@homehunting.be,,caroline@homehunting.be,https://www.homehunting.be,https://www.google.com/maps/search/HOME%20HUNTING%20Forest,,,"Gestion locative, Vente, Location",Oui,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Ricci Real Estate,RICCI REAL ESTATE,73,A,Woluwe-Saint-Lambert,2,Adriano Ricci | Linda Kesler,,,,,+3222100040,adriano.ricci@riccirealestate.be,,adriano.ricci@riccirealestate.be,https://www.riccirealestate.be/,https://www.google.com/maps/search/Ricci%20Real%20Estate%20Woluwe-Saint-Lambert,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Bdw Invest,BDW INVEST,73,A,Ixelles,1,Nicolas Guegan,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com | 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com | 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com | 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com | 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com,+3226603088,nicolas@bdw-invest.com,+3226603088,nicolas@bdw-invest.com,https://www.bdw-invest.com,https://www.google.com/maps/search/Bdw%20Invest%20Ixelles,,,"Gestion locative, Vente, Location",Oui,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immo Casalina,IMMO CASALINA,73,A,Evere,3,Alain Sterckx | Stamatis Couscouras | Patrick Dor,+3227051110,google-reviews@2x.png,+3227051110 | +3227312212,google-reviews@2x.png | experience-makes-the-difference-37@2x.jpg | experience-makes-the-difference-39a89a22-1@2x.jpg | gebouw-voor-gemengd-gebruik-te-koop-in-schaerbeek-6591@2x.jpg | duplex-te-huur-in-wezembeek-oppem-6578@2x.jpg | gesloten-garagebox-te-huur-in-schaarbeek-6574@2x.jpg | verkopen-00e75408-3@2x.jpg | verhuren-0821685f-4@2x.jpg | dubbele-registratie-van-huurovereenkomsten-in-brussel-e0dae833-79@2x.jpg | nieuwe-registratierechten-in-wallonie-9a6fd389-83@2x.jpg | 7-vragen-over-de-aankoop-van-een-nieuwbouw-d029011c-77@2x.jpg | experience-makes-the-difference-29b282ba-1@2x.jpg | info@casalina.be,+3227051110,info@casalina.be | st@casalina.be,,Info@casalina.be | st@casalina.be,https://www.casalina.be,https://www.google.com/maps/search/Immo%20Casalina%20Evere,4,15,Vente,Non,Non,Oui,Non,Non,whise,20,10,10,40,,SRL,2000-01-01,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
J&J Properties,JETJ PROPERTIES,73,A,Woluwe-Saint-Pierre,6,Pauline Preud'homme | Vincent Annez de Taboada | Marie-Lou Verriest | John de Troyer | Carol Fleuvy | Valérie Hannecart,+3227707600,en-tete-4@2x.jpg,+3227707600 | +3252790302,en-tete-4@2x.jpg | en-tete-mobiel-3e8a6c19-1@2x.png | maison-a-vendre-a-woluwe-saint-pierre-53945@2x.jpg | maison-a-vendre-a-kraainem-56851@2x.jpg | photo-a2ad0f4a-1@2x.png | info@jj-properties.be | b58fda3274ca43f6bc58793c0ee2a3db@sentry.io,+3227707600 | +32473474433,john@jj-properties.be | info@jj-properties.be,+3227707600,john@jj-properties.be | info@jj-properties.be,https://www.jj-properties.be/fr,https://www.google.com/maps/search/J%26J%20Properties%20Woluwe-Saint-Pierre,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,hubspot,,,,,,,,,hubspot couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Syndicbureau,SYNDICBUREAU,72,A,Middelkerke,1,Nils De Cock,+3259302991,info@syndicbureau.be,+3259302991,info@syndicbureau.be | 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com | dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com | c183baa23371454f99f417f6616b724d@sentry.wixpress.com | 8c4075d5481d476e945486754f783364@sentry.io | 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,+32468369078,elinevanlier@msn.com,+32468369078,Elinevanlier@msn.com,https://www.syndicbureau.be,https://www.google.com/maps/search/Syndicbureau%20Middelkerke,,,"Syndic, Location, Commercial",Non,Oui,Non,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Syndicoop,SYNDICOOP,72,A,Molenbeek-Saint-Jean,1,Grégoire Bestaux,+3249792972,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,+3249792972,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com | dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com | c183baa23371454f99f417f6616b724d@sentry.wixpress.com | 8c4075d5481d476e945486754f783364@sentry.io | 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com | 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,,,+3226755562,gbestaux@syndicoop.be,https://syndicoop.be,https://www.google.com/maps/search/Syndicoop%20Molenbeek-Saint-Jean,4.8,6,"Syndic, Location",Non,Oui,Non,Oui,Non,,,,,20,0781.335.988,SRL,2022-01-28,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
KADANER/TJS GESTION SPRL,KADANERTJS GESTION,72,A,Saint-Gilles,2,Julien Toussaint | Amina Khatib,,,,,+3223470707,jt@kadaner.be,,jt@kadaner.be,,https://www.google.com/maps/search/KADANER%2FTJS%20GESTION%20SPRL%20Saint-Gilles,3.4,16,,Non,Non,Non,Non,Non,,5,3,2,50,0690.853.992,SRL,2018-02-22,engagements non tenus; accueil désagréable; manque de courtoisie; survente lors des visites; réactivité porte d'entrée; contrôle consommation eau,Vos clients mentionnent engagements non tenus — comment gerez-vous le suivi des demandes aujourd'hui ?
KADANER,KADANER,72,A,Saint-Gilles,2,Geoffrey Leclercq | Hubert de Theux de Meylandt et Montjardin,,,,,+3226440680,g.leclercq@outlook.be,+3226440680,g.leclercq@outlook.be,,https://www.google.com/maps/search/KADANER%20Saint-Gilles,3.4,16,,Non,Non,Non,Non,Non,,5,3,2,50,0690.853.992,SRL,2018-02-22,engagements non tenus; accueil désagréable; manque de courtoisie; survente lors des visites; réactivité porte d'entrée; contrôle consommation eau,Vos clients mentionnent engagements non tenus — comment gerez-vous le suivi des demandes aujourd'hui ?
Syndic BCJ SRL,SYNDIC BCJ,72,A,Molenbeek-Saint-Jean,1,Jolanta Chraibi,+3222033666,info@gestionbcj.be,+3222033666,info@gestionbcj.be | 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com | 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com | 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,+3222033666,jc@gestionbcj.be,,jc@gestionbcj.be,https://www.gestionbcj.be,https://www.google.com/maps/search/Syndic%20BCJ%20SRL%20Molenbeek-Saint-Jean,3.5,8,"Syndic, Location",Non,Oui,Non,Oui,Non,,,,,20,,SRL,2015-01-01,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Crestfield,CRESTFIELD,72,A,Etterbeek,2,Ruben Pieraerts | Pierre Pieraerts,+3226466042,,+3226466042,,+3226466042,info@crestfield.be | pierre@pieraerts.be,,info@crestfield.be | pierre@pieraerts.be,https://crestfield.be/,https://www.google.com/maps/search/Crestfield%20Etterbeek,,,Syndic,Non,Oui,Non,Non,Non,,,,,15,1027.526.443,SRL,2025-09-11,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Immo Capitale Services,IMMO CAPITALE SERVICES,72,A,Schaerbeek,1,Anthony Tuccella,,,,,+32473440677,info@immocapitaleservices.be,,info@immocapitaleservices.be,https://immocapitaleservices.be/,https://www.google.com/maps/search/Immo%20Capitale%20Services%20Schaerbeek,,,"Syndic, Vente, Location",Non,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
IMMOBILIERE LE COL-VERT,IMMOBILIERE LE COLVERT,72,A,Etterbeek,1,Jean-François Furnal,,,,,,,,info@col-vert.be,,https://www.google.com/maps/search/IMMOBILIERE%20LE%20COL-VERT%20Etterbeek,3.3,60,,Non,Non,Non,Non,Non,,20,12,8,80,0476.569.413,SRL,2000-01-01,difficile à joindre; service client médiocre; tarifs élevés; réponses automatiques sans suivi; lignes téléphoniques occupées,Vos clients mentionnent difficile à joindre — comment gerez-vous le suivi des demandes aujourd'hui ?
INGENIM PM,INGENIM PM,72,A,Vorst,1,Patrick Anglade,+3293691974,info@ingenim.be,+3293691974,info@ingenim.be,+3224455995,pa@ingenim.be,,pa@ingenim.be,https://www.ingenim.be,https://www.google.com/maps/search/INGENIM%20PM%20Vorst,,,"Syndic, Vente, Location, Commercial",Non,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
EXPRESSIMMO,EXPRESSIMMO,72,A,Etterbeek,1,Bernard Fischgrund,+32453295945,,+32453295945 | +3227335050 | +3247564137 | +3247753039,,+3227335050,info@expressimmo.be,,info@expressimmo.be,https://www.expressimmo.be,https://www.google.com/maps/search/EXPRESSIMMO%20Etterbeek,,,"Syndic, Vente, Location",Non,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Century 21 EverOne,CENTURY 21 EVERONE,72,A,Evere,1,Sylvain Couchant,+32461492828,c21_sylvain_gaelle-600x600-crop-50-50@2x.jpg,+32461492828 | +32454234423 | +32453045001 | +32454244240,c21_sylvain_gaelle-600x600-crop-50-50@2x.jpg | info@century21everone.be,+3222412121,info@century21everone.be,,info@century21everone.be,https://agence-immobiliere.brussels/,https://www.google.com/maps/search/Century%2021%20EverOne%20Evere,,,"Syndic, Vente, Location",Non,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Facilymo Sprl,FACILYMO,72,A,Evere,2,Florence Becker | Sandra Pâtca,,,,,+3225117100,info@facilymo.be,,info@facilymo.be | florence@facilymo.be,,https://www.google.com/maps/search/Facilymo%20Sprl%20Evere,3.5,18,,Non,Non,Non,Non,Non,,,,,98,0833.369.956,SRL,2011-02-02,interphones non fonctionnels; travaux retardés; communication insuffisante,Vos clients mentionnent interphones non fonctionnels — comment gerez-vous le suivi des demandes aujourd'hui ?
SYNSTAR,SYNSTAR,72,A,Dilbeek,1,Charles-Henry Van Cappellen,+32702323449,office@synstar.be,+32702323449 | +3228890919,office@synstar.be,+3228890919,office@synstar.be,,office@synstar.be,https://www.synstar.be,https://www.google.com/maps/search/SYNSTAR%20Dilbeek,,,"Syndic, Location",Non,Oui,Non,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
CITYA BRUXELLES S.A.,CITYA BRUXELLES SA,72,A,Ukkel,1,Patrick Thuysbaert,,,,,+3224653885,pthuysbaert@citya-belgium.be,,pthuysbaert@citya-belgium.be,,https://www.google.com/maps/search/CITYA%20BRUXELLES%20S.A.%20Ukkel,3.2,35,,Non,Non,Non,Non,Non,,15,10,5,200,0873.284.961,SA,2005-04-14,réactivité insuffisante; erreurs administratives; manque de communication,Vos clients mentionnent réactivité insuffisante — comment gerez-vous le suivi des demandes aujourd'hui ?
HEMCO,HEMCO,72,A,Uccle,1,Antoine Hourani,+3225347859,info@hemcosyndic.be,+3225347859,info@hemcosyndic.be,+3225347859,antoine.hourani@skynet.be,,antoine.hourani@skynet.be,https://www.hemcosyndic.be,https://www.google.com/maps/search/HEMCO%20Uccle,,,"Syndic, Location",Non,Oui,Non,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
D. Real Estate,D REAL ESTATE,72,A,Sint-Katherina-Lombeek,1,Deborah De Cooman,,info@drealestate.be,,info@drealestate.be,+32473500409,deborah@drealestate.be,,deborah@drealestate.be,https://www.drealestate.be,https://www.google.com/maps/search/D.%20Real%20Estate%20Sint-Katherina-Lombeek,,,Syndic,Non,Oui,Non,Non,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Srl MRP GROUP (syndic),MRP GROUP SYNDIC,72,A,Wemmel,1,Philippe De Maeyer,+3226442727,,+3226442727,,+3226442727,philippe1380@skynet.be,,philippe1380@skynet.be,https://www.mrpgroup.be,https://www.google.com/maps/search/Srl%20MRP%20GROUP%20(syndic)%20Wemmel,,,"Syndic, Vente, Location, Commercial",Non,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Paul Urbain Gestion Immobilière sprl,PAUL URBAIN GESTION IMMOBILIRE,72,A,Woluwe-Saint-Lambert,1,Tanguy de Pierpont,+3227682697,info@paulurbain.be,+3227682697 | +3227682699,info@paulurbain.be,+3227682697,tanguy.depierpont@paulurbain.be,,tanguy.depierpont@paulurbain.be,https://www.paulurbain.be,https://www.google.com/maps/search/Paul%20Urbain%20Gestion%20Immobili%C3%A8re%20sprl%20Woluwe-Saint-Lambert,,,Syndic,Non,Oui,Non,Non,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
COPPER-DOUWES & CO,COPPERDOUWES ET CO,72,A,Strombeek-Bever,1,Axel Lombaerts,+32457311844,info@copper.be,+32457311844 | +3222679226,info@copper.be,+3222671555,immo@copper.be,,immo@copper.be,https://www.copper.be,https://www.google.com/maps/search/COPPER-DOUWES%20%26%20CO%20Strombeek-Bever,,,"Syndic, Vente, Location",Non,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Multisyn,MULTISYN,72,A,Lot,3,Toon Van Den Neste | Inèz Retz | Cindy Mathijs,+3228994444,info@multisyn.be,+3228994444,info@multisyn.be,+3228994444,info@multisyn.be,+3228994444,info@multisyn.be | toon.vandenneste@multisyn.be,https://www.multisyn.be,https://www.google.com/maps/search/Multisyn%20Lot,,,Syndic,Non,Oui,Non,Non,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Mellow Properties,MELLOW PROPERTIES,72,A,Vilvoorde,1,Dominicus Vandezande,+3224931678,carmen@mellowproperties.be,+3224931678 | +3225053850,carmen@mellowproperties.be | info@biv.be,+3224931678,dominique@mellowproperties.be,,dominique@mellowproperties.be,https://www.mellowproperties.be,https://www.google.com/maps/search/Mellow%20Properties%20Vilvoorde,,,Syndic,Non,Oui,Non,Non,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Sky Realty,SKY REALTY,71,A,Bruxelles,1,David Teuwis,+3249551155,info@skyrealty.be,+3249551155,info@skyrealty.be,+32495511555,dtsnews@gmail.com,+32495511555,dtsnews@gmail.com,https://www.skyrealty.be,https://www.google.com/maps/search/Sky%20Realty%20Bruxelles,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
O.T. Projects - RealtyCare,OT PROJECTS REALTYCARE,71,A,Molenbeek-Saint-Jean,1,Olivier Tackoen,+32450430450,info@realtycare.be,+32450430450 | +3224505656 | +3237625593 | +3237626322 | +3237627332 | +3237619168 | +3237624182 | +3237624417 | +3237624067 | +3237599336 | +3237590966 | +3237623488 | +3237623288,info@realtycare.be,+3224505656,ot@realtycare.be,,ot@realtycare.be,https://www.RealtyCare.be,https://www.google.com/maps/search/O.T.%20Projects%20-%20RealtyCare%20Molenbeek-Saint-Jean,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
W Properties & Management,W PROPERTIES ET MANAGEMENT,71,A,Ixelles,1,Xavier Weil,+3283144337,xavier@wproperties.be,+3283144337 | +3281214149 | +3263231297 | +3269389509 | +3276395001,xavier@wproperties.be | info@wproperties.be,+3222197590,xavier@wproperties.be,,xavier@wproperties.be,https://www.wproperties.be,https://www.google.com/maps/search/W%20Properties%20%26%20Management%20Ixelles,,,"Gestion locative, Vente, Location",Oui,Non,Oui,Oui,Non,sweepbright,,,,,,,,,sweepbright couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
IMMO DUSSART,IMMO DUSSART,71,A,Waterloo,1,Michel Dussart,+3223571818,info@immodussart.be,+3223571818 | +3267222222 | +3226402222 | +32483049683 | +3223571819 | +3265702222,info@immodussart.be | waterloo@immodussart.be | nivelles@immodussart.be | bruxelles@immodussart.be | chaumont-gistoux@immodussart.be | javea@immodussart.be | marbella@immodussart.be | corporate@immodussart.be | wavre@immodussart.be | mons@immodussart.be,+3223571818,info@immodussart.be,,info@immodussart.be,https://www.immodussart.be,https://www.google.com/maps/search/IMMO%20DUSSART%20Waterloo,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise; bricks,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
UPTOWN PROPERTIES BRUSSELS srl,UPTOWN PROPERTIES BRUSSELS,71,A,Ixelles,1,Steve Michiels,+32473282523,info@uptownproperties.be,+32473282523 | +3225053850,info@uptownproperties.be | info@ipi.be,+32473282523,steve@uptownproperties.be,,steve@uptownproperties.be,https://www.uptownproperties.be/,https://www.google.com/maps/search/UPTOWN%20PROPERTIES%20BRUSSELS%20srl%20Ixelles,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
THE KEYS MANAGEMENT,THE KEYS MANAGEMENT,71,A,Watermael-Boitsfort,1,Gaëtan Chopin,,cropped-logo-footer@2x-32x32.png,,cropped-logo-footer@2x-32x32.png | cropped-logo-footer@2x-192x192.png | cropped-logo-footer@2x-180x180.png | cropped-logo-footer@2x-270x270.png | logo-thekeys-2022@2x.png | cropped-logo-footer@2x.png | cropped-logo-footer@2x-300x300.png | cropped-logo-footer@2x-150x150.png | cropped-logo-footer@2x-100x100.png | cropped-logo-footer@2x-140x140.png | cropped-logo-footer@2x-500x500.png | cropped-logo-footer@2x-350x350.png,,,+3228527156,,https://www.thekeys.be,https://www.google.com/maps/search/THE%20KEYS%20MANAGEMENT%20Watermael-Boitsfort,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Royal Manor,ROYAL MANOR,71,A,Watermael-Boitsfort,1,Francisco de Murga,+3227906100,info@royalmanor.be,+3227906100,info@royalmanor.be,+3227906100,francisco@royalmanor.be,,francisco@royalmanor.be,https://www.royalmanor.be,https://www.google.com/maps/search/Royal%20Manor%20Watermael-Boitsfort,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Inside Development,INSIDE DEVELOPMENT,70,A,Bruxelles,2,Xavier de Jacquier de Rosée | Carlos de Meester de Betzenbroeck,,info@inside-development.be,,info@inside-development.be,+32475708125,cdmdb@scarlet.be,,xavier@inside-development.be | cdmdb@scarlet.be,https://www.inside-development.be,https://www.google.com/maps/search/Inside%20Development%20Bruxelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Capalto Group srl,CAPALTO GROUP,70,A,Etterbeek,2,Gaetano Capizzi | Lamiya Ghemari,+3235957071,home-revimmo@c1730x550.jpg,+3235957071 | +3262574068,home-revimmo@c1730x550.jpg | miv-2829@c400x525.jpg | miv-2829@c320x420.webp | miv-4395-rev-web@c400x525.jpg | miv-4395-rev-web@c320x420.webp | miv-3036@c400x525.jpg | miv-3036@c320x420.webp | miv-01415@c400x525.jpg | miv-01415@c320x420.webp | miv-0741-crop-site@c400x525.jpg | miv-0741-crop-site@c320x420.webp | miv-3060-rev-web@c400x525.jpg | miv-3060-rev-web@c320x420.webp | miv-4908-rev-web@c400x525.jpg | miv-4908-rev-web@c320x420.webp | miv-0879-ok@c400x525.jpg | miv-0879-ok@c320x420.webp | miv-6785@c400x525.jpg | miv-6785@c320x420.webp | miv-4092-rev-web@c400x525.jpg,+3222170032,gc@revimmo.be,,gc@revimmo.be,https://www.revimmo.be,https://www.google.com/maps/search/Capalto%20Group%20srl%20Etterbeek,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Property Hunter,PROPERTY HUNTER,70,A,Ixelles,3,Elsa Chauvin | Marc-Olivier van Bellinghen | Olivier Bruyneel,+3298250768,contact@propertyhunter.be,+3298250768 | +3223446147 | +3229381476 | +3254167612 | +32473985989 | +32483985989 | +3298250300,contact@propertyhunter.be | contct@propertyhunter.be,+3223446147,mo@propertyhunter.be,,mo@propertyhunter.be,https://propertyhunter.be/fr,https://www.google.com/maps/search/Property%20Hunter%20Ixelles,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Elevate Realty,ELEVATE REALTY,70,A,Laeken,2,Alexandre Barnstijn | ELEVATE REALTY,+3247602554,info@elevaterealty.be,+3247602554,info@elevaterealty.be | nom@exemple.com | 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com | 1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com | 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com | 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,+32475734363,info@elevaterealty.be,,info@elevaterealty.be,http://www.elevaterealty.be,https://www.google.com/maps/search/Elevate%20Realty%20Laeken,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
CENTURY 21 Souverain,CENTURY 21 SOUVERAIN,70,A,Auderghem,4,Sarah Fernandez Collado | Stephanie Cluytens | Lise Favéreaux | Sarah Thémans,+32474142086,,+32474142086 | +32456075850 | +3267566284,,+3226742121,sf@century21souverain.be | sarah@c21souverain.be,,sf@century21souverain.be | sarah@c21souverain.be,https://www.century21.be,https://www.google.com/maps/search/CENTURY%2021%20Souverain%20Auderghem,,,"Location, Commercial",Non,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Property Consulting,PROPERTY CONSULTING,70,A,Jette,1,Renaud D'Argembeau,+3225310159,info@propertyconsulting.be,+3225310159 | +3224780205,info@propertyconsulting.be,,,,rda@propertyconsulting.be,https://www.propertyconsulting.be,https://www.google.com/maps/search/Property%20Consulting%20Jette,,,"Syndic, Location",Non,Oui,Non,Oui,Non,hubspot,,,,,,,,,hubspot couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
K Production SPRL,K PRODUCTION,70,A,Woluwe-Saint-Pierre,3,Thierry Kemp | Alessia Cinti | Guillaume Letellier,+3223751010,,+3223751010 | +3223751020 | +3223751000,,+32475833093,thierry.kemp@victoire.be,+32475833093,thierry.kemp@victoire.be,https://www.victoire.be,https://www.google.com/maps/search/K%20Production%20SPRL%20Woluwe-Saint-Pierre,,,Commercial,Non,Non,Non,Non,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
